date,unit_id,listing,listing_group,season,month,dow,ati_static,pricelabs,gap_dollars,gap_abs
2027-06-26,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Spring Peak,6,Saturday,1025,2147.0,-1122.0,1122.0
2027-03-11,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Thursday,1500,2621.0,-1121.0,1121.0
2027-03-12,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Friday,1500,2621.0,-1121.0,1121.0
2027-05-27,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Spring Peak,5,Thursday,925,2044.0,-1119.0,1119.0
2027-09-03,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Fall Peak,9,Friday,1075,2188.0,-1113.0,1113.0
2027-07-03,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Shoulder,7,Saturday,1475,2586.0,-1111.0,1111.0
2027-06-04,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,6,Friday,1500,2604.0,-1104.0,1104.0
2027-03-29,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,3,Monday,1500,2604.0,-1104.0,1104.0
2027-09-20,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Monday,1525,2627.0,-1102.0,1102.0
2027-09-21,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Fall Peak,9,Tuesday,1525,2627.0,-1102.0,1102.0
2027-03-26,510 LaFave North: Virgin River,Virgin River,Premier Villa (3BR/3BA),Spring Peak,3,Friday,1025,2125.0,-1100.0,1100.0
2027-05-01,203 LaFave South: Emerald Pools,Emerald Pools,Villa Game (2BR/2BA),Spring Peak,5,Saturday,800,1896.0,-1096.0,1096.0
2027-05-01,505 LaFave North: Lava Point,Lava Point,Villa Game (2BR/2BA),Spring Peak,5,Saturday,800,1896.0,-1096.0,1096.0
2027-04-04,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,4,Sunday,1500,2595.0,-1095.0,1095.0
